Linux 5.4.0-144-generic (ubuntu) 	03/18/2023 	_x86_64_	(2 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          20.56    0.08   19.09    0.40    0.00   59.86

Device            r/s     w/s     rMB/s     wMB/s   rrqm/s   wrqm/s  %rrqm  %wrqm r_await w_await aqu-sz rareq-sz wareq-sz  svctm  %util
loop0            0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.18    0.00   0.00     2.60     0.00   0.53   0.00
loop1            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.21    0.00   0.00     2.42     0.00   1.05   0.00
loop2            0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.17    0.00   0.00     2.63     0.00   0.61   0.00
loop3            0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.57    0.00   0.00    20.31     0.00   0.55   0.00
loop4            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.15    0.00   0.00     2.35     0.00   1.20   0.00
loop5            0.43    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.11    0.00   0.00     1.88     0.00   0.13   0.01
loop6            0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.34    0.00   0.00     2.83     0.00   1.07   0.00
loop7            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.40    0.00   0.00     2.73     0.00   1.50   0.00
sda            702.01  560.98     11.23     16.50     8.29    58.38   1.17   9.43    0.23    0.12   0.06    16.39    30.11   0.30  38.25
loop8            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.22    0.00   0.00     2.50     0.00   0.89   0.00
loop9            0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.42    0.00   0.00    15.99     0.00   0.72   0.00
loop10           7.07    0.00      0.01      0.00     0.00     0.00   0.00   0.00    0.25    0.00   0.00     1.02     0.00   0.08   0.06
loop11           0.06    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.23    0.00   0.00     7.13     0.00   0.55   0.00
loop12           0.08    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.16    0.00   0.00     2.28     0.00   0.33   0.00
loop13           0.08    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.12    0.00   0.00     2.40     0.00   0.34   0.00
loop14           0.08    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.13    0.00   0.00     2.36     0.00   0.35   0.00
loop15           0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.20    0.00   0.00     2.35     0.00   0.80   0.00
loop16           0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     1.00     0.00   2.00   0.00
loop17           0.05    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.31    0.00   0.00     8.78     0.00   0.62   0.00
loop18           0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.49    0.00   0.00    18.35     0.00   0.63   0.00
loop19           0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.86    0.00   0.00    20.31     0.00   0.86   0.00
loop20           0.19    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.16    0.00   0.00     2.94     0.00   0.30   0.01
loop21           0.09    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.07    0.00   0.00     2.25     0.00   0.31   0.00
loop22           0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     1.00     0.00   1.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          16.84    0.00   15.82    0.00    0.00   67.35

